Years,0,Total Residential*
2003,30096.899224806202,20364.11332633788
2004,27827.281648675173,19249.615187275525
2005,27098.61932938856,22186.45418326693
2006,29529.828109201215,21078.43137254902
2007,33718.446601941745,22208.301306687164
2008,41465.49948506694,24736.91168693813
2009,36209.641255605384,23855.418304323415
2010,32563.01531213192,21138.911902789285
2011,31838.407494145198,20370.644718792868
2012,29121.76724137931,20771.39037433155
2013,28315.90181430096,19488.56166184591
2014,27461.306532663315,19286.429512516468
2015,27257.17017208413,19746.127592543973
2016,30779.95867768595,21027.175404886082
2017,25097.297297297297,21500.403768506058
2018,25642.85714285714,21587.197049525817
