Years,0,Total Residential*
2003,36116.27906976744,24436.935991605456
2004,33392.73797841021,23099.53822473063
2005,32518.343195266272,26623.745019920316
2006,35435.793731041456,25294.117647058825
2007,40462.1359223301,26649.9615680246
2008,49758.59938208033,29684.294024325754
2009,43451.56950672646,28626.501965188098
2010,39075.618374558304,25366.69428334714
2011,38206.08899297424,24444.77366255144
2012,34946.120689655174,24925.66844919786
2013,33979.08217716115,23386.27399421509
2014,32953.56783919598,23143.71541501976
2015,32708.604206500957,23695.35311105277
2016,36935.95041322314,25232.610485863297
2017,30116.756756756757,25800.48452220727
2018,30771.42857142857,25904.63645943098
