Years,Total Nonresidential Dollar Loss*,Total Residential*
2003,3106000000.0,7762800000.0
2004,2835600000.0,7503500000.0
2005,2747800000.0,8353200000.0
2006,2920500000.0,8277500000.0
2007,3473000000.0,8667900000.0
2008,4026300000.0,9355500000.0
2009,3229900000.0,8497300000.0
2010,2764600000.0,7654400000.0
2011,2719000000.0,7425100000.0
2012,2702500000.0,7768500000.0
2013,2653200000.0,7411500000.0
2014,2732400000.0,7319200000.0
2015,2851100000.0,7521300000.0
2016,2979500000.0,7660200000.0
2017,2785800000.0,7987400000.0
2018,2656600000.0,8194500000.0
