disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,hash,lastRefresh,id
3397,2018-02-11T00:00:00.000Z,TROPICAL STORM GITA,2018-02-07T00:00:00.000Z,2018-02-12T00:00:00.000Z,Emergency,AS,American Samoa,Hurricane,2018-02-11T00:00:00.000Z,2018-09-26T00:00:00.000Z,,23ffc41e1c3a5f1d1ac08617a12a0d96,2019-10-10T20:03:52.911Z,5aa2d570cb4f0f7020b1703a
3390,2017-09-18T00:00:00.000Z,HURRICANE MARIA,2017-09-16T00:00:00.000Z,2017-09-22T00:00:00.000Z,Emergency,VI,Virgin Islands of the U.S.    ,Hurricane,2017-09-18T00:00:00.000Z,2018-09-07T00:00:00.000Z,2018-09-07T00:00:00.000Z,606b8d3fbf7e4bd84b75a2be2fbf4117,2018-09-07T13:42:29.408Z,5aa2d570cb4f0f7020b1703f
4352,2017-12-20T00:00:00.000Z,SEVERE STORMS AND FLOODING,2017-10-04T00:00:00.000Z,2017-10-06T00:00:00.000Z,Major Disaster,NM,New Mexico,Flood,2017-12-21T00:00:00.000Z,2017-12-21T00:00:00.000Z,,d728aaf1b8a6a5dcbb9ebf6542e91d9d,2019-10-10T20:03:52.934Z,5aa2d570cb4f0f7020b1703b
3388,2017-09-08T00:00:00.000Z,HURRICANE IRMA,2017-09-04T00:00:00.000Z,2017-10-04T00:00:00.000Z,Emergency,FL,Florida                       ,Hurricane,2017-09-09T00:00:00.000Z,2018-04-03T00:00:00.000Z,2018-03-28T00:00:00.000Z,ac1cc3782349186abe34b8cfe134ef59,2018-04-03T22:01:53.622Z,5aa2d570cb4f0f7020b17040
3395,2017-10-08T00:00:00.000Z,HURRICANE NATE,2017-10-07T00:00:00.000Z,2017-10-11T00:00:00.000Z,Emergency,FL,Florida,Hurricane,2017-10-08T00:00:00.000Z,2017-10-13T00:00:00.000Z,,aeb18244ba681afa709a423ccc298ca3,2019-10-10T20:03:52.948Z,5aa2d570cb4f0f7020b1703d
3392,2017-10-06T00:00:00.000Z,TROPICAL STORM NATE,2017-10-05T00:00:00.000Z,2017-10-08T00:00:00.000Z,Emergency,LA,Louisiana,Hurricane,2017-10-06T00:00:00.000Z,2017-10-13T00:00:00.000Z,,7e5feb46d7ee06f9574e9533535554c5,2019-10-10T20:03:52.946Z,5aa2d570cb4f0f7020b1703e
4332,2017-08-25T00:00:00.000Z,HURRICANE HARVEY,2017-08-23T00:00:00.000Z,2017-09-15T00:00:00.000Z,Major Disaster,TX,Texas,Hurricane,2017-08-26T00:00:00.000Z,2017-09-15T00:00:00.000Z,,ffc199a0d005d9ab5a14653792fafefc,2019-10-10T20:03:52.790Z,5aa2d570cb4f0f7020b17042
4348,2017-11-14T00:00:00.000Z,FLOODING,2017-05-02T00:00:00.000Z,2017-08-06T00:00:00.000Z,Major Disaster,NY,New York,Flood,2017-11-14T00:00:00.000Z,2017-11-14T00:00:00.000Z,,b9d63976275a48358f9a992b70f0c7ea,2019-10-10T20:03:52.922Z,5aa2d570cb4f0f7020b1703c
3384,2017-09-05T00:00:00.000Z,HURRICANE IRMA,2017-09-05T00:00:00.000Z,2017-09-07T00:00:00.000Z,Emergency,PR,Puerto Rico,Hurricane,2017-09-06T00:00:00.000Z,2017-09-18T00:00:00.000Z,,43ca1d37bc73c1809d98b4de868c2e7a,2019-10-10T20:03:52.904Z,5aa2d570cb4f0f7020b17041
4327,2017-08-05T00:00:00.000Z,FLOODING,2017-06-07T00:00:00.000Z,2017-06-22T00:00:00.000Z,Major Disaster,WY,Wyoming,Flood,2017-08-06T00:00:00.000Z,2017-08-06T00:00:00.000Z,,217aeae47a6717b1426dbe8ab99e077b,2019-10-10T20:03:52.918Z,5aa2d570cb4f0f7020b17043
4302,2017-02-14T00:00:00.000Z,SEVERE WINTER STORM,2017-01-03T00:00:00.000Z,2017-01-05T00:00:00.000Z,Major Disaster,CA,California,Severe Storm(s),2017-02-15T00:00:00.000Z,2017-02-15T00:00:00.000Z,,e3f75b0fb4302f34211244a0b65c5efd,2019-10-10T20:03:52.948Z,5aa2d570cb4f0f7020b17048
4342,2017-10-07T00:00:00.000Z,FLOODING,2017-03-29T00:00:00.000Z,2017-06-15T00:00:00.000Z,Major Disaster,ID,Idaho,Flood,2017-10-07T00:00:00.000Z,2017-10-07T00:00:00.000Z,,52b0a333ff42f001d7df453d9c513dd4,2019-10-10T20:03:52.787Z,5aa2d570cb4f0f7020b1704d
4328,2017-08-08T00:00:00.000Z,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2017-01-07T00:00:00.000Z,2017-01-10T00:00:00.000Z,Major Disaster,OR,Oregon,Severe Storm(s),2017-08-08T00:00:00.000Z,2017-08-08T00:00:00.000Z,,a5ba2ce117753d60209cebd11e294842,2019-10-10T20:03:52.946Z,5aa2d570cb4f0f7020b17052
4303,2017-02-17T00:00:00.000Z,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",2017-01-05T00:00:00.000Z,2017-01-14T00:00:00.000Z,Major Disaster,NV,Nevada,Severe Storm(s),2017-02-18T00:00:00.000Z,2017-02-18T00:00:00.000Z,,d81ec9824be68226bdad9bd4c637c6ca,2019-10-10T20:03:52.934Z,5aa2d570cb4f0f7020b17057
4341,2017-09-27T00:00:00.000Z,HURRICANE IRMA - SEMINOLE TRIBE OF FLORIDA,2017-09-04T00:00:00.000Z,2017-10-04T00:00:00.000Z,Major Disaster,FL,Florida,Hurricane,2017-09-27T00:00:00.000Z,2017-10-13T00:00:00.000Z,,137a92270b9f3f3164149cbe0ed62385,2019-10-10T20:03:52.911Z,5aa2d570cb4f0f7020b1705c
4307,2017-03-27T00:00:00.000Z,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",2017-02-05T00:00:00.000Z,2017-02-22T00:00:00.000Z,Major Disaster,NV,Nevada,Severe Storm(s),2017-03-28T00:00:00.000Z,2017-03-28T00:00:00.000Z,,750e8942881c10f6bf9476b56501e007,2019-10-10T20:03:52.939Z,5aa2d570cb4f0f7020b17047
4344,2017-10-10T00:00:00.000Z,WILDFIRES,2017-10-08T00:00:00.000Z,2017-10-31T00:00:00.000Z,Major Disaster,CA,California,Fire,2017-10-10T00:00:00.000Z,2017-11-07T00:00:00.000Z,,f79541ad31761d7f8aa00b915297411e,2019-10-10T20:03:52.921Z,5aa2d570cb4f0f7020b1704c
4334,2017-08-27T00:00:00.000Z,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-07-19T00:00:00.000Z,2017-07-23T00:00:00.000Z,Major Disaster,IA,Iowa,Severe Storm(s),2017-08-27T00:00:00.000Z,2017-08-27T00:00:00.000Z,,8486f300b1d48ea2cab0b5538a467898,2019-10-10T20:03:52.929Z,5aa2d570cb4f0f7020b17051
4308,2017-04-01T00:00:00.000Z,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",2017-02-01T00:00:00.000Z,2017-02-23T00:00:00.000Z,Major Disaster,CA,California,Flood,2017-04-02T00:00:00.000Z,2017-04-02T00:00:00.000Z,,9cb8c5575d0e94a8439ad2948261ea4c,2019-10-10T20:03:52.922Z,5aa2d570cb4f0f7020b17056
3394,2017-10-08T00:00:00.000Z,HURRICANE NATE,2017-10-06T00:00:00.000Z,2017-10-10T00:00:00.000Z,Emergency,AL,Alabama                       ,Hurricane,2017-10-08T00:00:00.000Z,2019-02-07T00:00:00.000Z,2017-12-18T00:00:00.000Z,24a6fc618840939975f4688b1eae091c,2019-02-07T18:21:20.358Z,5aa2d570cb4f0f7020b1705b
4317,2017-06-02T00:00:00.000Z,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS AND FLOODING",2017-04-28T00:00:00.000Z,2017-05-11T00:00:00.000Z,Major Disaster,MO,Missouri,Flood,2017-06-02T00:00:00.000Z,2017-06-02T00:00:00.000Z,,2d47ddf624cdb4a98830ad8755231590,2019-10-10T20:03:52.905Z,5aa2d570cb4f0f7020b17045
