Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Detached Garages*
2003,"$5,800,000","$2,100,000","$2,100,000","$4,900,000","$900,000","$12,100,000","$3,000,000","$10,100,000","$11,500,000","$10,600,000","$4,700,000","$11,000,000","$3,700,000","$18,800,000","$2,200,000","$103,700,000"
2004,"$7,600,000","$1,800,000","$1,900,000","$5,900,000","$700,000","$9,100,000","$700,000","$6,100,000","$5,200,000","$6,000,000","$4,100,000","$7,800,000","$5,800,000","$14,700,000","$1,100,000","$78,300,000"
2005,"$7,300,000","$600,000","$3,000,000","$3,700,000","$100,000","$10,500,000","$600,000","$8,800,000","$7,300,000","$10,400,000","$4,000,000","$10,500,000","$5,600,000","$10,500,000","$2,300,000","$85,200,000"
2006,"$6,100,000","$1,200,000","$600,000","$2,200,000","$100,000","$8,200,000","$100,000","$4,300,000","$6,300,000","$7,600,000","$2,600,000","$6,700,000","$2,300,000","$10,800,000","$5,100,000","$64,200,000"
2007,"$7,900,000","$500,000","$900,000","$4,900,000","$300,000","$9,900,000","$800,000","$7,600,000","$3,600,000","$9,000,000","$4,900,000","$10,000,000","$4,200,000","$15,800,000","$5,000,000","$85,300,000"
2008,"$7,500,000","$1,900,000","$700,000","$4,800,000","$1,100,000","$17,100,000","$800,000","$8,900,000","$4,800,000","$7,700,000","$5,100,000","$6,600,000","$4,700,000","$14,800,000","$3,800,000","$90,000,000"
2009,"$14,300,000","$700,000","$1,500,000","$2,900,000","$500,000","$13,400,000","$3,100,000","$8,900,000","$5,300,000","$9,200,000","$4,100,000","$9,000,000","$1,400,000","$15,400,000","$5,800,000","$95,600,000"
2010,"$7,500,000","$1,400,000","$1,400,000","$2,500,000","$100,000","$13,200,000","$1,900,000","$7,300,000","$5,100,000","$8,700,000","$4,800,000","$7,200,000","$5,100,000","$17,800,000","$3,800,000","$87,800,000"
2011,"$4,600,000","$400,000","$900,000","$3,000,000","$300,000","$9,300,000","$1,000,000","$8,300,000","$6,100,000","$8,800,000","$5,600,000","$4,500,000","$4,700,000","$14,100,000","$5,100,000","$76,800,000"
2012,"$6,000,000","$500,000","$1,000,000","$5,300,000","$400,000","$7,700,000","$2,200,000","$7,500,000","$6,000,000","$6,200,000","$7,500,000","$10,800,000","$2,300,000","$17,400,000","$5,200,000","$86,100,000"
2013,"$3,500,000","$100,000","$1,400,000","$4,500,000","$200,000","$16,100,000","$2,600,000","$8,400,000","$5,200,000","$10,000,000","$3,100,000","$6,900,000","$1,300,000","$15,000,000","$5,800,000","$84,200,000"
2014,"$3,200,000","$200,000","$1,200,000","$7,900,000","$800,000","$8,500,000","$1,800,000","$6,100,000","$4,400,000","$6,400,000","$3,600,000","$13,200,000","$19,500,000","$15,400,000","$4,200,000","$96,500,000"
2015,"$6,300,000","$300,000","$1,700,000","$4,800,000","$300,000","$11,300,000","$1,700,000","$8,000,000","$5,200,000","$7,800,000","$3,600,000","$9,000,000","$3,400,000","$18,100,000","$3,400,000","$84,900,000"
2016,"$4,800,000","$600,000","$1,300,000","$5,200,000","$700,000","$11,500,000","$1,800,000","$9,700,000","$8,700,000","$10,500,000","$4,700,000","$10,300,000","$3,200,000","$19,300,000","$5,900,000","$98,100,000"
2017,"$3,100,000","$200,000","$1,700,000","$3,400,000","$600,000","$6,800,000","$900,000","$6,300,000","$2,800,000","$5,500,000","$3,600,000","$7,500,000","$2,600,000","$15,800,000","$3,000,000","$63,800,000"
2018,"$2,700,000","$500,000","$800,000","$3,100,000","$400,000","$11,900,000","$1,300,000","$8,500,000","$5,600,000","$5,900,000","$2,700,000","$6,400,000","$2,100,000","$17,500,000","$3,100,000","$72,400,000"
