Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Other*
2003,800,<50,100,"1,100","1,800",300,100,300,300,300,100,100,200,400,<50,"6,100"
2004,900,<50,100,900,"1,900",500,100,400,400,200,200,100,200,500,<50,"6,400"
2005,"1,100",<50,100,800,"2,000",600,100,400,700,200,200,100,200,700,<50,"7,200"
2006,900,<50,100,900,"2,300",600,100,300,600,200,200,300,200,800,<50,"7,500"
2007,900,<50,100,"1,000","2,300",600,100,300,600,200,200,200,200,800,<50,"7,600"
2008,900,<50,100,900,"2,000",500,100,400,600,200,300,200,100,900,<50,"7,200"
2009,700,<50,100,900,"2,000",500,100,300,500,200,200,100,100,800,<50,"6,500"
2010,700,<50,100,600,"1,700",500,100,300,500,200,200,100,200,"1,000",100,"6,200"
2011,700,<50,100,600,"1,800",500,<50,300,400,100,200,100,200,"1,000",<50,"6,100"
2012,800,<50,100,600,"1,900",300,100,300,400,200,200,100,100,"1,200",100,"6,500"
2013,700,<50,100,700,"1,800",200,200,300,400,200,200,100,100,"1,200",100,"6,200"
2014,700,<50,100,800,"1,700",300,100,300,500,200,200,200,100,"1,200",<50,"6,400"
2015,800,<50,100,600,"1,900",300,100,400,500,200,200,100,200,"1,300",100,"6,800"
2016,600,<50,100,500,"1,600",200,100,300,500,200,300,100,200,"1,300",100,"6,100"
2017,900,<50,100,500,"1,700",300,100,400,500,200,200,100,200,"1,400",<50,"6,700"
2018,800,<50,100,400,"1,500",300,100,300,500,200,300,100,200,"1,300",100,"6,200"
