Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Stores and Office*
2003,"$140,900,000","$3,000,000","$22,200,000","$56,700,000","$7,200,000","$201,000,000","$26,500,000","$62,200,000","$48,500,000","$51,000,000","$62,000,000","$89,700,000","$39,000,000","$84,400,000","$54,200,000","$948,600,000"
2004,"$141,800,000","$4,600,000","$8,700,000","$26,700,000","$16,700,000","$176,900,000","$24,000,000","$78,300,000","$71,300,000","$45,500,000","$17,400,000","$69,300,000","$44,800,000","$88,900,000","$23,200,000","$837,900,000"
2005,"$113,900,000","$100,000","$7,200,000","$32,400,000","$17,600,000","$182,800,000","$21,300,000","$44,800,000","$56,400,000","$41,500,000","$25,700,000","$108,400,000","$77,400,000","$117,800,000","$44,000,000","$891,300,000"
2006,"$138,400,000","$1,300,000","$27,400,000","$26,900,000","$13,700,000","$228,000,000","$31,900,000","$65,900,000","$46,900,000","$39,500,000","$71,500,000","$49,200,000","$47,800,000","$136,500,000","$118,800,000","$1,043,600,000"
2007,"$88,800,000","$1,200,000","$13,300,000","$19,700,000","$9,600,000","$113,700,000","$28,400,000","$139,800,000","$27,700,000","$49,800,000","$52,500,000","$80,400,000","$21,600,000","$126,200,000","$81,100,000","$853,700,000"
2008,"$171,400,000","$25,000,000","$19,700,000","$26,800,000","$21,600,000","$271,300,000","$77,500,000","$78,800,000","$49,900,000","$49,900,000","$43,100,000","$69,400,000","$57,200,000","$106,900,000","$78,300,000","$1,146,800,000"
2009,"$118,600,000","< $50,000","$10,100,000","$30,900,000","$7,900,000","$172,400,000","$46,400,000","$48,800,000","$50,700,000","$79,300,000","$18,600,000","$87,500,000","$36,300,000","$83,700,000","$64,700,000","$855,900,000"
2010,"$267,200,000","$800,000","$9,700,000","$19,800,000","$13,900,000","$131,000,000","$25,000,000","$30,500,000","$57,500,000","$25,300,000","$30,600,000","$38,700,000","$54,700,000","$136,200,000","$43,300,000","$884,200,000"
2011,"$80,200,000","$200,000","$6,800,000","$11,300,000","$24,600,000","$164,900,000","$32,200,000","$46,200,000","$42,900,000","$37,000,000","$29,300,000","$60,000,000","$49,500,000","$110,300,000","$42,500,000","$737,900,000"
2012,"$88,400,000","$2,500,000","$13,300,000","$17,000,000","$15,900,000","$129,700,000","$32,100,000","$24,400,000","$46,800,000","$71,900,000","$35,600,000","$38,500,000","$52,600,000","$75,600,000","$43,000,000","$687,100,000"
2013,"$82,100,000","$200,000","$4,200,000","$40,000,000","$17,200,000","$106,700,000","$27,800,000","$29,400,000","$41,300,000","$64,600,000","$11,000,000","$65,200,000","$28,300,000","$106,700,000","$40,600,000","$665,300,000"
2014,"$114,700,000","$400,000","$5,500,000","$80,500,000","$11,800,000","$112,800,000","$68,300,000","$58,000,000","$46,900,000","$43,300,000","$39,700,000","$68,900,000","$53,100,000","$102,800,000","$66,500,000","$873,300,000"
2015,"$38,900,000","$1,500,000","$5,300,000","$36,000,000","$8,000,000","$170,400,000","$40,600,000","$48,600,000","$30,700,000","$47,700,000","$23,200,000","$53,100,000","$18,400,000","$93,500,000","$31,900,000","$647,700,000"
2016,"$89,400,000","$400,000","$10,300,000","$54,000,000","$9,400,000","$82,600,000","$31,400,000","$38,300,000","$44,500,000","$37,400,000","$33,500,000","$112,200,000","$23,000,000","$106,400,000","$52,800,000","$725,400,000"
2017,"$202,700,000","$1,000,000","$15,200,000","$42,400,000","$20,100,000","$314,600,000","$80,400,000","$65,700,000","$58,800,000","$128,100,000","$63,300,000","$106,800,000","$76,900,000","$194,000,000","$147,600,000","$1,517,700,000"
2018,"$71,700,000","$200,000","$3,900,000","$24,300,000","$11,100,000","$134,000,000","$30,900,000","$32,200,000","$22,000,000","$43,900,000","$27,300,000","$26,200,000","$39,200,000","$125,900,000","$45,300,000","$638,100,000"
"Note:  In 2017, a fire at the Railway Specialties Corporation in Croydon, Pennsylvania, resulted in $800 million in property loss and $300 million in contents loss that contributed to the large increase in the Stores and Offices dollar loss estimate.",,,,,,,,,,,,,,,,
