Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Assembly*
2003,"$24,100,000","< $50,000","$4,700,000","$18,500,000","$11,400,000","$64,700,000","$7,300,000","$27,200,000","$12,000,000","$1,500,000","$33,800,000","$10,200,000","$4,800,000","$36,600,000","$32,400,000","$289,200,000"
2004,"$36,900,000","$2,400,000","$800,000","$38,100,000","$400,000","$31,400,000","$4,800,000","$13,500,000","$10,900,000","$5,900,000","$18,600,000","$1,900,000","$8,800,000","$27,800,000","$16,000,000","$218,200,000"
2005,"$41,500,000","$5,800,000","$500,000","$1,700,000","$8,300,000","$37,600,000","$38,200,000","$15,100,000","$3,700,000","$7,200,000","$17,800,000","$14,900,000","$12,700,000","$20,300,000","$10,000,000","$235,200,000"
2006,"$42,400,000","$100,000","$400,000","$3,300,000","$1,500,000","$25,400,000","$12,500,000","$11,900,000","$13,400,000","$2,300,000","$20,100,000","$9,300,000","$3,000,000","$22,100,000","$7,900,000","$175,700,000"
2007,"$57,200,000","$500,000","$2,100,000","$15,000,000","$5,100,000","$37,300,000","$1,900,000","$9,600,000","$19,700,000","$6,500,000","$25,100,000","$4,400,000","$5,200,000","$36,900,000","$17,800,000","$244,300,000"
2008,"$47,600,000","$100,000","$300,000","$20,400,000","$1,300,000","$40,300,000","$6,700,000","$27,000,000","$13,500,000","$2,600,000","$36,400,000","$10,400,000","$32,500,000","$19,300,000","$35,300,000","$293,700,000"
2009,"$40,100,000","$2,100,000","$1,200,000","$5,800,000","$7,700,000","$35,300,000","$3,700,000","$27,200,000","$13,700,000","$5,900,000","$17,600,000","$11,900,000","$9,900,000","$32,800,000","$13,000,000","$227,800,000"
2010,"$37,900,000","< $50,000","$900,000","$5,800,000","$600,000","$34,900,000","$1,800,000","$5,600,000","$9,700,000","$900,000","$9,900,000","$11,500,000","$19,100,000","$5,900,000","$77,600,000","$222,200,000"
2011,"$28,600,000","$2,000,000","$900,000","$7,100,000","$1,000,000","$17,800,000","$7,000,000","$5,200,000","$1,500,000","$6,700,000","$40,200,000","$2,300,000","$9,500,000","$8,000,000","$28,100,000","$166,000,000"
2012,"$30,600,000","$100,000","$1,500,000","$4,100,000","$1,100,000","$15,000,000","$25,600,000","$9,700,000","$18,300,000","$1,000,000","$6,900,000","$2,200,000","$3,000,000","$12,300,000","$8,700,000","$140,200,000"
2013,"$17,400,000","< $50,000","$700,000","$5,200,000","$1,900,000","$59,400,000","$3,000,000","$14,000,000","$36,000,000","$2,500,000","$16,900,000","$20,600,000","$1,300,000","$11,600,000","$21,000,000","$211,600,000"
2014,"$23,500,000","$100,000","$600,000","$14,600,000","$4,600,000","$34,800,000","$24,600,000","$3,500,000","$11,500,000","$4,600,000","$9,600,000","$5,000,000","$4,800,000","$12,000,000","$16,900,000","$170,600,000"
2015,"$32,900,000","< $50,000","$300,000","$2,800,000","$1,700,000","$14,000,000","$4,400,000","$4,500,000","$4,600,000","$3,100,000","$25,900,000","$6,200,000","$7,800,000","$96,000,000","$13,800,000","$218,100,000"
2016,"$35,800,000","< $50,000","$500,000","$8,800,000","$3,400,000","$26,100,000","$5,500,000","$22,100,000","$4,800,000","$3,500,000","$14,200,000","$4,800,000","$9,700,000","$42,100,000","$15,600,000","$197,000,000"
2017,"$10,100,000","$300,000","$1,200,000","$3,500,000","$2,000,000","$11,800,000","$13,900,000","$12,400,000","$21,400,000","$2,500,000","$9,200,000","$1,700,000","$7,700,000","$11,900,000","$8,000,000","$117,800,000"
2018,"$26,300,000","< $50,000","$900,000","$5,200,000","$6,900,000","$47,100,000","$3,600,000","$4,200,000","$9,900,000","$4,700,000","$20,400,000","$2,300,000","$4,900,000","$24,700,000","$8,900,000","$169,900,000"
