Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Eating and Drinking*
2003,"$20,800,000","< $50,000","$4,300,000","$6,900,000","$23,900,000","$42,400,000","$8,400,000","$10,900,000","$16,600,000","$500,000","$5,500,000","$9,900,000","$45,200,000","$24,900,000","$6,700,000","$226,700,000"
2004,"$22,200,000","$100,000","$11,600,000","$6,900,000","$23,000,000","$41,000,000","$12,600,000","$11,100,000","$12,200,000","$400,000","$6,700,000","$7,900,000","$8,500,000","$9,300,000","$20,400,000","$193,900,000"
2005,"$21,400,000","< $50,000","$4,100,000","$11,000,000","$29,900,000","$52,300,000","$6,800,000","$4,800,000","$14,300,000","$2,800,000","$4,600,000","$2,700,000","$15,800,000","$17,100,000","$28,800,000","$216,500,000"
2006,"$14,400,000","$400,000","$1,500,000","$6,100,000","$17,900,000","$34,300,000","$38,900,000","$2,200,000","$9,100,000","$200,000","$14,000,000","$3,300,000","$241,800,000","$14,000,000","$7,000,000","$405,200,000"
2007,"$27,700,000","< $50,000","$6,800,000","$7,800,000","$19,900,000","$45,500,000","$8,800,000","$9,600,000","$12,100,000","$400,000","$14,200,000","$7,900,000","$15,700,000","$36,400,000","$11,500,000","$224,500,000"
2008,"$46,200,000","< $50,000","$6,800,000","$10,200,000","$23,700,000","$74,000,000","$5,900,000","$4,700,000","$18,900,000","$2,100,000","$4,000,000","$17,600,000","$68,600,000","$29,300,000","$28,300,000","$340,300,000"
2009,"$26,600,000","< $50,000","$11,900,000","$7,700,000","$28,700,000","$51,500,000","$14,200,000","$3,300,000","$12,900,000","$400,000","$4,200,000","$14,000,000","$8,300,000","$49,100,000","$13,400,000","$246,200,000"
2010,"$15,600,000","< $50,000","$3,800,000","$3,000,000","$23,200,000","$35,700,000","$16,800,000","$3,700,000","$10,600,000","$8,400,000","$6,700,000","$2,700,000","$25,100,000","$28,800,000","$24,300,000","$208,300,000"
2011,"$21,500,000","< $50,000","$2,600,000","$6,500,000","$19,800,000","$27,400,000","$9,700,000","$2,400,000","$14,500,000","$1,400,000","$4,000,000","$14,500,000","$13,300,000","$19,500,000","$29,000,000","$186,100,000"
2012,"$9,400,000","< $50,000","$3,200,000","$5,100,000","$25,000,000","$26,700,000","$14,900,000","$8,900,000","$4,900,000","$900,000","$4,400,000","$1,400,000","$2,400,000","$52,900,000","$9,000,000","$169,200,000"
2013,"$11,100,000","< $50,000","$6,700,000","$13,900,000","$30,700,000","$35,300,000","$16,700,000","$9,800,000","$5,200,000","$300,000","$5,100,000","$2,200,000","$2,100,000","$26,200,000","$14,200,000","$179,500,000"
2014,"$12,000,000","$300,000","$1,600,000","$9,200,000","$31,700,000","$27,900,000","$7,600,000","$5,400,000","$8,300,000","$2,000,000","$3,400,000","$4,100,000","$2,700,000","$15,300,000","$13,500,000","$144,800,000"
2015,"$15,700,000","< $50,000","$4,900,000","$8,000,000","$32,200,000","$27,000,000","$9,300,000","$8,800,000","$17,200,000","$2,600,000","$5,500,000","$8,200,000","$6,800,000","$16,000,000","$15,400,000","$177,400,000"
2016,"$8,500,000","< $50,000","$16,600,000","$9,700,000","$32,600,000","$27,900,000","$12,800,000","$5,700,000","$13,200,000","$4,900,000","$3,600,000","$7,900,000","$14,500,000","$31,000,000","$19,700,000","$208,600,000"
2017,"$10,100,000","$100,000","$5,900,000","$6,700,000","$20,500,000","$15,600,000","$12,500,000","$6,100,000","$8,000,000","$900,000","$6,200,000","$7,300,000","$8,900,000","$21,300,000","$11,100,000","$141,100,000"
2018,"$6,800,000","< $50,000","$2,300,000","$7,500,000","$26,500,000","$20,200,000","$5,500,000","$5,200,000","$6,600,000","$8,600,000","$5,000,000","$13,200,000","$11,600,000","$25,600,000","$21,900,000","$166,600,000"
