Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Manufacturing*
2003,"$10,800,000","< $50,000","$2,100,000","$39,900,000","$5,800,000","$40,500,000","$33,000,000","$90,400,000","$39,800,000","$59,500,000","$54,700,000","$1,000,000","$95,400,000","$21,900,000","$5,400,000","$500,300,000"
2004,"$11,500,000","< $50,000","$400,000","$14,300,000","$20,700,000","$40,500,000","$5,000,000","$85,000,000","$29,400,000","$146,600,000","$17,200,000","$3,500,000","$77,400,000","$73,300,000","$2,800,000","$527,600,000"
2005,"$5,800,000","< $50,000","$2,300,000","$7,500,000","$1,800,000","$29,600,000","$12,000,000","$35,300,000","$40,100,000","$100,300,000","$27,500,000","$6,700,000","$42,800,000","$44,800,000","$40,900,000","$397,600,000"
2006,"$16,000,000","< $50,000","$1,800,000","$18,600,000","$9,100,000","$46,300,000","$14,200,000","$15,700,000","$25,800,000","$18,400,000","$50,100,000","$28,200,000","$60,200,000","$37,700,000","$10,300,000","$352,600,000"
2007,"$198,500,000","$700,000","$4,600,000","$12,400,000","$2,200,000","$97,800,000","$19,400,000","$18,200,000","$63,100,000","$92,900,000","$47,400,000","$17,900,000","$102,100,000","$79,000,000","$10,800,000","$767,200,000"
2008,"$25,500,000","< $50,000","$1,800,000","$23,000,000","$1,900,000","$102,400,000","$45,500,000","$48,600,000","$94,600,000","$112,500,000","$43,300,000","$13,700,000","$148,700,000","$74,600,000","$19,500,000","$755,500,000"
2009,"$36,900,000","$1,100,000","$1,500,000","$111,500,000","$4,200,000","$91,400,000","$14,400,000","$22,400,000","$72,400,000","$92,400,000","$32,000,000","$4,300,000","$56,100,000","$194,400,000","$7,000,000","$742,200,000"
2010,"$9,600,000","< $50,000","$100,000","$9,700,000","$1,300,000","$47,000,000","$17,100,000","$41,500,000","$96,300,000","$50,600,000","$11,500,000","$8,100,000","$35,700,000","$38,700,000","$17,800,000","$385,200,000"
2011,"$4,500,000","< $50,000","$100,000","$9,700,000","$2,200,000","$39,200,000","$7,600,000","$107,600,000","$28,500,000","$283,400,000","$32,700,000","$20,800,000","$52,400,000","$14,700,000","$22,200,000","$625,700,000"
2012,"$8,200,000","< $50,000","< $50,000","$16,400,000","$1,600,000","$30,700,000","$21,600,000","$44,900,000","$45,800,000","$100,400,000","$23,400,000","$2,600,000","$184,900,000","$53,100,000","$50,300,000","$584,100,000"
2013,"$1,100,000","< $50,000","$100,000","$8,200,000","$17,600,000","$44,600,000","$18,700,000","$36,600,000","$21,700,000","$35,600,000","$12,300,000","$1,500,000","$53,900,000","$116,500,000","$10,100,000","$378,500,000"
2014,"$5,000,000","< $50,000","< $50,000","$33,100,000","$1,400,000","$26,700,000","$33,000,000","$82,400,000","$41,300,000","$32,100,000","$13,100,000","$17,300,000","$70,800,000","$73,300,000","$30,200,000","$459,900,000"
2015,"$10,000,000","$1,100,000","$500,000","$19,900,000","$4,200,000","$74,500,000","$65,800,000","$29,700,000","$53,800,000","$118,200,000","$24,800,000","$17,600,000","$189,000,000","$107,100,000","$87,500,000","$803,800,000"
2016,"$18,400,000","< $50,000","< $50,000","$9,400,000","$3,900,000","$17,200,000","$21,900,000","$13,900,000","$33,700,000","$61,400,000","$38,800,000","$23,500,000","$33,200,000","$85,200,000","$122,600,000","$483,200,000"
2017,"$3,700,000","< $50,000","$400,000","$15,500,000","$1,600,000","$42,100,000","$8,600,000","$25,000,000","$30,000,000","$19,800,000","$15,700,000","$3,700,000","$32,800,000","$36,900,000","$13,300,000","$248,900,000"
2018,"$16,100,000","$200,000","$26,600,000","$15,400,000","$1,800,000","$57,400,000","$6,100,000","$24,900,000","$41,600,000","$22,100,000","$5,800,000","$2,700,000","$118,600,000","$86,800,000","$9,600,000","$435,800,000"
"In 2018, a reported $15,000,000 fire caused by an improperly discarded cigarette ignited a cannabis facility in Greenfield, California, contributing to the increase in the Smoking fire dollar loss estimate.",,,,,,,,,,,,,,,,
