Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Storage*
2003,"$114,600,000","$5,700,000","$4,100,000","$11,900,000","$1,800,000","$76,400,000","$8,200,000","$60,900,000","$45,400,000","$35,000,000","$42,500,000","$54,700,000","$40,500,000","$78,800,000","$33,200,000","$613,600,000"
2004,"$33,300,000","$2,400,000","$1,500,000","$19,600,000","$2,500,000","$59,300,000","$4,100,000","$58,500,000","$33,000,000","$38,000,000","$36,800,000","$21,500,000","$40,900,000","$135,600,000","$34,900,000","$522,000,000"
2005,"$36,700,000","$2,800,000","$2,500,000","$18,000,000","$700,000","$85,500,000","$9,300,000","$62,100,000","$61,200,000","$21,200,000","$37,700,000","$19,700,000","$15,900,000","$62,400,000","$12,600,000","$448,200,000"
2006,"$21,000,000","$2,500,000","$1,900,000","$54,100,000","$300,000","$69,500,000","$1,200,000","$28,000,000","$29,200,000","$32,900,000","$35,500,000","$33,100,000","$11,300,000","$47,000,000","$20,800,000","$388,200,000"
2007,"$37,500,000","$2,500,000","$2,500,000","$10,600,000","$1,900,000","$76,100,000","$5,400,000","$39,100,000","$38,200,000","$35,800,000","$56,300,000","$56,700,000","$41,400,000","$62,300,000","$14,500,000","$480,900,000"
2008,"$28,800,000","$2,300,000","$30,300,000","$31,900,000","$500,000","$55,800,000","$5,200,000","$153,100,000","$33,400,000","$50,900,000","$46,400,000","$36,700,000","$16,400,000","$275,200,000","$22,100,000","$789,300,000"
2009,"$48,300,000","$4,800,000","$3,300,000","$21,700,000","$800,000","$76,000,000","$5,500,000","$41,900,000","$32,700,000","$43,000,000","$44,200,000","$33,500,000","$29,800,000","$133,800,000","$26,400,000","$545,800,000"
2010,"$48,900,000","$1,100,000","$7,200,000","$8,600,000","$400,000","$71,300,000","$4,600,000","$27,300,000","$16,300,000","$37,000,000","$62,900,000","$13,700,000","$20,700,000","$112,700,000","$27,400,000","$460,200,000"
2011,"$58,200,000","$1,700,000","$6,900,000","$10,400,000","$900,000","$52,900,000","$5,300,000","$40,700,000","$33,000,000","$34,300,000","$76,900,000","$30,600,000","$26,800,000","$71,400,000","$26,000,000","$476,100,000"
2012,"$84,400,000","$3,200,000","$5,600,000","$13,100,000","$700,000","$42,000,000","$3,600,000","$40,100,000","$30,300,000","$54,800,000","$80,100,000","$30,800,000","$13,100,000","$90,800,000","$17,200,000","$509,700,000"
2013,"$80,100,000","$2,400,000","$3,300,000","$46,300,000","$600,000","$62,300,000","$12,200,000","$34,800,000","$28,500,000","$41,000,000","$42,500,000","$37,800,000","$40,600,000","$86,000,000","$25,900,000","$544,400,000"
2014,"$17,900,000","$800,000","$1,400,000","$48,000,000","$700,000","$44,000,000","$12,100,000","$24,600,000","$25,600,000","$40,700,000","$34,400,000","$26,700,000","$21,500,000","$104,100,000","$74,400,000","$477,100,000"
2015,"$26,900,000","$500,000","$1,500,000","$15,300,000","$4,500,000","$54,900,000","$10,400,000","$55,800,000","$26,300,000","$60,000,000","$53,900,000","$31,400,000","$23,900,000","$122,900,000","$28,000,000","$516,300,000"
2016,"$26,500,000","$1,200,000","$3,400,000","$27,900,000","$1,300,000","$85,300,000","$19,600,000","$49,400,000","$33,700,000","$72,400,000","$49,500,000","$35,300,000","$49,200,000","$254,800,000","$54,600,000","$764,100,000"
2017,"$17,900,000","$1,100,000","$2,600,000","$11,700,000","$400,000","$43,800,000","$4,100,000","$27,500,000","$19,900,000","$50,000,000","$25,500,000","$23,000,000","$29,100,000","$80,200,000","$20,100,000","$356,800,000"
2018,"$26,200,000","$800,000","$1,600,000","$19,600,000","$300,000","$51,000,000","$5,100,000","$25,500,000","$53,000,000","$42,300,000","$50,400,000","$31,500,000","$32,500,000","$174,000,000","$22,500,000","$536,500,000"
