Years,Assembly,Eating & Drinking Establishments,Educational,Institutional,Stores and Offices,Basic Industry,Manufacturing,Storage ,Detached Garages,Outside or Special Property Buildings,Other,Total Nonresidential Building*
2003,"6,500","8,100","6,400","7,700","20,800","2,700","7,200","16,600","5,000","16,100","6,100","103,200"
2004,"7,500","7,900","6,700","7,500","20,100","2,500","7,100","16,000","4,800","15,500","6,400","101,900"
2005,"7,500","8,000","6,300","7,100","19,500","2,300","6,200","14,800","4,200","18,300","7,200","101,400"
2006,"7,000","7,400","6,000","7,400","18,400","2,200","6,000","14,700","4,100","18,200","7,500","98,900"
2007,"7,500","8,000","6,200","7,200","18,000","2,500","6,200","15,200","4,400","20,200","7,600","103,000"
2008,"7,000","7,900","6,100","6,900","18,500","2,400","5,300","14,100","4,300","17,500","7,200","97,100"
2009,"6,600","6,600","5,200","6,600","15,800","2,000","3,800","13,000","4,400","18,800","6,500","89,200"
2010,"6,100","6,600","4,800","6,000","15,000","1,900","3,900","12,600","4,100","17,700","6,200","84,900"
2011,"5,800","6,700","4,800","6,000","15,200","2,000","4,100","12,900","4,000","17,700","6,100","85,400"
2012,"6,300","7,000","4,900","6,200","16,200","2,100","4,400","14,900","4,800","19,500","6,500","92,800"
2013,"6,400","7,600","4,900","6,300","16,600","2,100","4,300","14,600","4,500","20,200","6,200","93,700"
2014,"6,500","8,400","4,900","6,600","17,900","2,500","4,800","16,300","4,500","20,800","6,400","99,500"
2015,"6,800","9,200","4,800","6,700","18,900","2,400","5,200","16,500","4,800","22,500","6,800","104,600"
2016,"6,300","8,400","4,300","6,200","17,000","2,300","4,500","15,200","4,200","22,300","6,100","96,800"
2017,"7,200","9,300","4,800","7,000","19,300","2,600","4,700","16,900","4,900","27,500","6,700","111,000"
2018,"6,400","9,300","4,400","6,500","18,400","2,500","4,700","15,300","4,100","25,800","6,200","103,600"
