Years,Assembly,Eating & Drinking Establishments,Educational,Institutional,Stores and Offices,Basic Industry,Manufacturing,Storage ,Detached Garages,Outside or Special Property Buildings,Other,Total Nonresidential Building*
2003,10,5,<3,55,25,15,5,35,15,5,15,185
2004,<3,5,<3,5,10,<3,5,10,15,10,10,70
2005,<3,5,<3,5,5,<3,5,10,5,10,5,40
2006,<3,<3,<3,5,15,5,5,20,10,10,5,75
2007,5,5,<3,5,15,5,<3,15,15,10,15,90
2008,<3,5,<3,10,35,<3,5,20,5,10,10,100
2009,5,<3,<3,10,15,<3,10,25,10,10,15,90
2010,<3,<3,<3,5,20,<3,5,25,<3,15,10,80
2011,5,<3,5,<3,15,<3,10,25,5,10,5,80
2012,<3,<3,<3,5,5,<3,5,15,10,5,10,65
2013,<3,5,<3,<3,10,<3,5,15,5,10,15,65
2014,<3,<3,<3,<3,15,<3,5,20,5,10,5,60
2015,5,<3,<3,<3,10,5,5,15,10,15,5,70
2016,50,<3,<3,15,25,5,<3,30,15,10,5,145
2017,<3,<3,5,5,15,<3,5,30,15,20,10,95
2018,15,<3,<3,5,10,<3,<3,10,5,20,10,85
