Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Other Residential*
2003,"60,000,000","2,400,000","12,600,000","29,300,000","11,700,000","81,500,000","13,400,000","36,500,000","42,000,000","5,000,000","16,300,000","9,800,000","14,500,000","39,800,000","6,200,000","380,900,000"
2004,"34,100,000","2,900,000","9,900,000","20,100,000","12,000,000","45,000,000","20,600,000","33,000,000","34,300,000","8,700,000","31,900,000","9,000,000","16,000,000","53,000,000","3,000,000","333,500,000"
2005,"35,200,000","2,900,000","26,100,000","19,200,000","13,300,000","59,400,000","19,200,000","45,900,000","31,500,000","4,800,000","15,000,000","24,300,000","37,100,000","33,200,000","31,900,000","398,900,000"
2006,"86,700,000","2,300,000","12,400,000","12,100,000","8,000,000","48,200,000","16,700,000","41,200,000","29,600,000","5,000,000","22,800,000","11,500,000","17,000,000","43,300,000","14,300,000","371,400,000"
2007,"23,700,000","1,600,000","9,600,000","19,900,000","8,000,000","71,900,000","12,800,000","25,600,000","29,500,000","18,000,000","27,900,000","10,000,000","34,400,000","54,600,000","11,200,000","358,800,000"
2008,"21,900,000","1,300,000","14,900,000","14,800,000","8,500,000","56,200,000","10,200,000","303,400,000","54,600,000","7,100,000","34,200,000","16,500,000","12,900,000","39,000,000","8,100,000","603,600,000"
2009,"81,600,000","800,000","14,900,000","11,200,000","6,200,000","33,500,000","11,900,000","33,200,000","36,300,000","6,800,000","24,900,000","21,400,000","19,200,000","52,100,000","26,100,000","379,900,000"
2010,"23,800,000","3,300,000","8,500,000","14,100,000","8,200,000","38,400,000","17,100,000","38,000,000","27,700,000","5,300,000","15,400,000","14,600,000","21,900,000","61,600,000","10,200,000","308,100,000"
2011,"19,400,000","3,200,000","8,300,000","13,900,000","6,600,000","48,700,000","10,000,000","20,900,000","20,400,000","11,000,000","24,700,000","8,100,000","13,800,000","99,900,000","16,600,000","325,400,000"
2012,"67,500,000","700,000","10,500,000","20,300,000","19,300,000","32,200,000","23,700,000","32,300,000","27,300,000","17,500,000","22,600,000","7,900,000","16,600,000","55,100,000","8,300,000","361,900,000"
2013,"37,800,000","2,400,000","13,600,000","27,600,000","23,600,000","78,600,000","29,900,000","27,400,000","20,900,000","10,900,000","20,600,000","14,100,000","9,900,000","54,700,000","17,100,000","389,000,000"
2014,"17,900,000","1,700,000","5,600,000","22,900,000","21,300,000","58,900,000","17,400,000","53,300,000","62,400,000","3,000,000","16,000,000","7,300,000","7,500,000","65,200,000","18,400,000","378,700,000"
2015,"24,500,000","1,200,000","7,500,000","20,200,000","21,100,000","62,000,000","16,900,000","54,800,000","27,300,000","7,300,000","51,500,000","5,600,000","9,300,000","69,100,000","25,600,000","404,000,000"
2016,"26,900,000","1,600,000","9,000,000","22,500,000","17,600,000","45,100,000","13,100,000","28,300,000","27,500,000","5,700,000","25,800,000","38,300,000","13,300,000","61,300,000","33,500,000","369,600,000"
2017,"18,000,000","1,300,000","10,700,000","12,500,000","11,900,000","57,100,000","17,600,000","20,200,000","22,400,000","6,900,000","34,900,000","9,300,000","14,800,000","60,700,000","22,800,000","321,200,000"
2018,"38,700,000","2,100,000","9,500,000","20,200,000","17,600,000","40,600,000","35,800,000","33,600,000","27,700,000","10,800,000","14,900,000","15,400,000","23,100,000","88,200,000","24,800,000","402,900,000"
