Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Multifamily*
2003,255,95,305,110,"1,200",140,110,405,275,35,15,15,295,340,45,"3,650"
2004,215,135,355,90,"1,295",140,150,415,230,5,10,10,270,390,75,"3,775"
2005,280,115,405,115,"1,195",160,90,425,215,10,15,20,295,365,100,"3,800"
2006,255,110,425,80,"1,185",170,100,380,210,15,15,10,310,355,95,"3,725"
2007,310,80,315,100,"1,380",220,105,345,220,35,10,5,265,360,120,"3,875"
2008,300,45,335,95,"1,470",285,140,410,255,20,10,20,280,440,90,"4,200"
2009,280,95,340,125,"1,415",280,125,295,230,15,15,20,285,395,145,"4,050"
2010,225,100,300,65,"1,600",285,120,315,280,25,20,10,280,430,195,"4,250"
2011,255,70,380,90,"1,660",270,100,445,280,30,25,15,305,425,110,"4,450"
2012,260,85,335,155,"1,895",145,345,290,290,20,25,20,10,335,120,"4,325"
2013,275,45,280,170,"1,740",250,275,295,245,30,25,15,15,255,65,"3,975"
2014,170,40,260,155,"1,860",205,305,335,270,20,30,15,15,280,130,"4,100"
2015,185,45,225,130,"1,770",195,205,240,205,15,30,25,65,385,115,"3,825"
2016,170,30,260,140,"1,585",155,180,315,180,35,20,10,110,340,95,"3,625"
2017,260,50,245,120,"1,570",190,195,265,215,25,10,5,155,320,160,"3,800"
2018,235,65,260,95,"1,445",120,270,300,245,60,10,25,230,345,170,"3,875"
