Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total 1 & 2 Family*
2003,570,405,655,515,"1,675",695,295,"1,425",735,135,105,30,585,"1,150",225,"9,200"
2004,625,345,600,540,"1,780",735,340,"1,335",600,120,100,20,815,"1,070",240,"9,275"
2005,615,200,505,475,"1,720",915,395,"1,115",695,140,65,60,715,"1,075",275,"8,950"
2006,440,315,620,465,"1,635",795,360,"1,035",575,125,100,45,560,930,255,"8,225"
2007,580,330,590,575,"1,800",905,430,"1,050",570,145,120,75,545,"1,110",290,"9,125"
2008,505,320,580,475,"1,910",760,320,865,525,105,80,50,565,"1,040",290,"8,400"
2009,455,215,515,410,"1,815",835,340,805,475,175,75,50,585,"1,085",290,"8,125"
2010,480,335,605,485,"2,030",725,290,815,565,115,80,65,655,"1,030",265,"8,525"
2011,555,275,610,425,"1,895",890,445,815,600,165,135,65,615,"1,145",285,"8,925"
2012,495,235,435,565,"2,395",735,700,780,470,155,110,75,100,680,370,"8,300"
2013,425,210,510,540,"2,330",615,575,800,420,150,100,50,105,790,355,"7,975"
2014,435,145,470,665,"2,175",660,515,665,425,155,105,25,120,760,235,"7,550"
2015,410,100,415,405,"1,900",625,475,725,470,140,65,35,180,920,350,"7,200"
2016,420,120,430,345,"1,795",615,420,580,395,125,70,65,245,930,370,"6,925"
2017,395,100,430,420,"1,625",520,395,605,365,125,70,50,315,910,315,"6,650"
2018,445,115,425,430,"1,560",670,405,635,410,230,80,60,305,"1,075",350,"7,175"
