Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Other Residential*
2003,45,5,65,50,135,50,30,45,35,<3,5,15,20,55,5,575
2004,20,20,95,30,130,35,20,55,75,10,<3,5,55,40,10,600
2005,35,15,115,35,120,55,20,55,40,10,5,<3,30,55,25,600
2006,65,5,95,20,105,35,20,65,40,5,20,5,35,55,20,600
2007,55,<3,50,30,120,50,55,70,15,10,10,<3,15,40,15,525
2008,35,20,40,40,115,35,25,60,35,5,5,<3,30,60,5,525
2009,40,<3,60,5,130,30,10,25,30,5,<3,5,25,50,15,425
2010,45,5,35,35,110,30,30,30,35,10,15,<3,35,65,10,500
2011,35,10,50,20,115,45,35,35,30,15,10,<3,30,60,20,525
2012,25,<3,30,45,145,25,35,30,10,5,5,<3,5,40,20,425
2013,20,<3,50,25,155,20,45,50,35,10,<3,5,15,40,20,500
2014,25,15,35,30,110,50,20,35,30,5,<3,<3,5,35,15,425
2015,60,<3,20,40,85,25,35,25,45,<3,<3,<3,15,50,25,425
2016,30,30,45,20,100,25,40,30,30,15,15,<3,15,40,30,450
2017,35,<3,25,25,105,30,10,30,30,10,5,<3,15,55,20,400
2018,25,<3,25,40,105,40,40,45,25,20,5,5,25,40,25,475
