Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Residential*
2003,875,500,"1,025",675,"3,000",900,450,"1,875","1,050",175,125,75,900,"1,550",275,"13,425"
2004,850,500,"1,050",650,"3,225",900,500,"1,800",900,125,100,50,"1,150","1,500",325,"13,650"
2005,925,325,"1,025",625,"3,050","1,125",500,"1,600",950,150,75,75,"1,050","1,500",400,"13,375"
2006,750,425,"1,150",575,"2,950","1,000",475,"1,475",825,150,125,50,900,"1,350",375,"12,550"
2007,950,400,950,700,"3,325","1,175",600,"1,475",800,200,125,75,825,"1,500",425,"13,525"
2008,825,400,950,600,"3,475","1,075",475,"1,325",825,125,100,75,875,"1,550",375,"13,100"
2009,775,300,900,550,"3,350","1,150",475,"1,125",725,200,100,75,900,"1,525",450,"12,600"
2010,750,425,950,575,"3,750","1,050",425,"1,150",875,150,125,75,975,"1,525",475,"13,275"
2011,850,350,"1,050",550,"3,675","1,200",575,"1,300",900,200,175,75,950,"1,625",425,"13,900"
2012,775,325,800,775,"4,425",900,"1,075","1,100",775,175,150,100,125,"1,050",500,"13,050"
2013,725,250,850,725,"4,225",875,900,"1,150",700,200,125,75,125,"1,075",450,"12,450"
2014,625,200,775,850,"4,125",925,850,"1,050",725,175,125,50,150,"1,075",375,"12,075"
2015,650,150,675,575,"3,775",850,725,975,725,150,100,50,250,"1,350",475,"11,475"
2016,625,175,750,500,"3,475",800,650,925,600,175,100,75,375,"1,325",500,"11,025"
2017,700,150,700,575,"3,300",750,600,900,625,175,75,50,475,"1,300",500,"10,825"
2018,700,175,700,575,"3,100",825,725,975,675,325,100,100,550,"1,450",550,"11,525"
