Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Other Residential*
2003,<3,<3,65,10,10,<3,<3,10,10,<3,<3,<3,<3,20,10,140
2004,<3,10,20,10,5,10,5,10,5,10,<3,<3,25,20,<3,140
2005,20,<3,30,5,<3,10,5,35,15,10,10,<3,<3,25,5,160
2006,25,<3,35,5,<3,10,<3,5,5,5,<3,<3,<3,30,10,125
2007,10,5,25,<3,<3,10,<3,10,15,<3,5,<3,<3,5,<3,80
2008,10,5,25,10,5,<3,<3,10,<3,10,<3,<3,10,10,5,90
2009,25,<3,10,5,<3,10,5,10,30,10,5,<3,10,15,15,140
2010,5,<3,25,<3,5,<3,<3,15,20,15,<3,5,<3,10,10,105
2011,15,5,10,10,5,5,<3,10,5,5,<3,5,<3,15,30,115
2012,5,5,5,10,5,10,<3,5,25,5,<3,<3,10,15,10,100
2013,30,10,10,5,<3,5,5,10,10,10,<3,<3,5,25,5,120
2014,10,<3,15,10,10,10,<3,15,25,<3,<3,<3,5,15,25,130
2015,5,<3,10,10,<3,5,15,5,5,10,<3,<3,<3,15,15,95
2016,10,<3,5,10,<3,10,5,5,15,5,<3,25,<3,20,20,125
2017,5,<3,20,5,<3,5,5,10,20,15,5,<3,5,20,<3,110
2018,10,<3,20,<3,10,20,5,5,<3,5,5,<3,<3,40,15,130
