Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Other Residential*
2003,"1,300",100,600,"2,700","11,700","1,200",500,"1,100","1,100",300,300,200,700,"1,200",100,"23,000"
2004,"1,100",100,600,"2,500","12,400","1,200",500,"1,000","1,100",300,300,200,800,"1,200",100,"23,500"
2005,"1,300",100,700,"2,200","12,300","1,300",500,"1,000","1,000",300,400,400,700,"1,300",200,"23,700"
2006,"1,100",100,600,"2,300","14,000","1,300",500,"1,100",900,300,300,400,700,"1,300",200,"25,000"
2007,"1,200",100,600,"2,400","13,400","1,400",500,"1,000",900,400,400,300,800,"1,500",200,"25,000"
2008,"1,100",100,500,"2,100","13,600","1,300",500,800,800,300,300,300,700,"1,200",200,"23,700"
2009,900,<50,300,"2,000","13,300","1,000",400,600,600,300,200,200,600,"1,200",200,"21,800"
2010,900,100,400,"1,900","13,300","1,100",400,700,700,300,300,300,600,"1,300",200,"22,500"
2011,"1,100",100,400,"2,100","14,000","1,100",500,700,700,300,400,400,600,"1,500",200,"24,000"
2012,"1,200",100,500,"2,300","15,100","1,000",900,800,700,300,400,300,200,"1,300",200,"25,300"
2013,"1,300",100,500,"2,600","15,300","1,200","1,000",800,800,300,300,300,200,"1,400",200,"26,200"
2014,"1,200",100,400,"2,500","15,600","1,300","1,100",800,800,300,400,300,300,"1,700",300,"26,800"
2015,"1,200",100,500,"2,300","16,100","1,400",900,800,800,400,300,200,400,"1,800",300,"27,400"
2016,"1,300",100,400,"2,200","15,500","1,300",900,900,800,400,400,300,500,"1,800",300,"26,900"
2017,"1,300",100,400,"2,100","16,500","1,300",700,900,900,400,400,300,500,"2,100",300,"28,100"
2018,"1,600",100,500,"2,300","19,300","1,600",900,900,"1,000",500,400,300,600,"2,300",400,"32,500"
