table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
,,,,,,,,,,,,
Geographic Area,"April 1, 2010",,Housing Unit Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States,"131,704,730","131,705,135","131,825,383","132,312,816","132,834,047","133,538,615","134,388,318","135,285,123","136,286,436","137,366,902","138,516,439","139,684,244"
".Autauga County, Alabama","22,135","22,143","22,172","22,347","22,463","22,826","22,950","23,085","23,256","23,463","23,694","23,896"
".Baldwin County, Alabama","104,061","104,061","104,289","104,915","105,640","106,750","108,018","109,331","111,466","113,982","116,432","119,412"
".Barbour County, Alabama","11,829","11,827","11,831","11,843","11,908","11,913","11,923","11,939","11,966","12,006","12,051","12,080"
".Bibb County, Alabama","8,981","8,982","8,988","8,993","9,018","9,042","9,070","9,101","9,129","9,175","9,225","9,261"
".Blount County, Alabama","23,887","23,888","23,902","23,935","23,983","24,021","24,056","24,101","24,206","24,317","24,440","24,517"
".Bullock County, Alabama","4,493","4,492","4,494","4,499","4,506","4,511","4,516","4,523","4,534","4,553","4,574","4,587"
".Butler County, Alabama","9,964","9,961","9,964","9,971","9,992","10,004","10,013","10,024","10,042","10,081","10,121","10,147"
".Calhoun County, Alabama","53,289","53,259","53,298","53,249","53,316","53,351","53,380","53,456","53,508","53,621","53,732","53,796"
".Chambers County, Alabama","17,004","16,993","16,993","16,988","16,979","16,972","16,962","16,959","16,958","16,981","16,997","17,009"
".Cherokee County, Alabama","16,267","16,266","16,275","16,283","16,362","16,390","16,420","16,450","16,496","16,571","16,660","16,715"
".Chilton County, Alabama","19,278","19,270","19,283","19,327","19,378","19,419","19,465","19,575","19,645","19,757","19,901","20,056"
".Choctaw County, Alabama","7,269","7,268","7,272","7,256","7,270","7,280","7,291","7,303","7,322","7,355","7,391","7,413"
