Nonresidential Building - ROUNDED National Estimates (2003-2018),,,,
,,,,
,FIRES,,,
,Years,Overall Nonresidential Buildings,,
,2003,"103,200",,
,2004,"101,900",,
,2005,"101,400",,
,2006,"98,900",,
,2007,"103,000",,
,2008,"97,100",,
,2009,"89,200",,
,2010,"84,900",,
,2011,"85,400",,
,2012,"92,800",,
,2013,"93,700",,
,2014,"99,500",,
,2015,"104,600",,
,2016,"96,800",,
,2017,"111,000",,
,2018,"103,600",,
,,,,
,DEATHS,,,
,Years,Overall Nonresidential Buildings,,
,2003,185,,
,2004,70,,
,2005,40,,
,2006,75,,
,2007,90,,
,2008,100,,
,2009,90,,
,2010,80,,
,2011,80,,
,2012,65,,
,2013,65,,
,2014,60,,
,2015,70,,
,2016,145,,
,2017,95,,
,2018,85,,
,,,,
,INJURIES,,,
,Years,Overall Nonresidential Buildings,,
,2003,"1,400",,
,2004,"1,200",,
,2005,"1,400",,
,2006,"1,350",,
,2007,"1,275",,
,2008,"1,250",,
,2009,"1,500",,
,2010,"1,375",,
,2011,"1,100",,
,2012,"1,450",,
,2013,"1,425",,
,2014,"1,200",,
,2015,"1,325",,
,2016,"1,550",,
,2017,"1,200",,
,2018,"1,025",,
,,,,
,,,,
,,,,
,DOLLAR LOSS IN 2018 DOLLARS,,,
,Years,Overall Nonresidential Buildings,,
,2003,"3,106,000,000",,
,2004,"2,835,600,000",,
,2005,"2,747,800,000",,
,2006,"2,920,500,000",,
,2007,"3,473,000,000",,
,2008,"4,026,300,000",,
,2009,"3,229,900,000",,
,2010,"2,764,600,000",,
,2011,"2,719,000,000",,
,2012,"2,702,500,000",,
,2013,"2,653,200,000",,
,2014,"2,732,400,000",,
,2015,"2,851,100,000",,
,2016,"2,979,500,000",,
,2017,"2,785,800,000",,
,2018,"2,656,600,000",,
