Nonresidential Building Property Types - ROUNDED National Estimates (2003-2018),,,,,,,,,,,,,
,* Sum of property uses may not equal totals due to rounding.,,,,,,,,,,,,
,Note: Estimates of fire deaths with < 3 deaths indicate insufficient data available to compute estimates,,,,,,,,,,,,
,,,,,,,,,,,,,
,,FIRES,,,,,,,,,,,
,Years,Assembly,Eating & Drinking Establishments,Educational,Institutional,Stores and Offices,Basic Industry,Manufacturing,Storage ,Detached Garages,Outside or Special Property Buildings,Other,Total Nonresidential Building*
,2003,"6,500","8,100","6,400","7,700","20,800","2,700","7,200","16,600","5,000","16,100","6,100","103,200"
,2004,"7,500","7,900","6,700","7,500","20,100","2,500","7,100","16,000","4,800","15,500","6,400","101,900"
,2005,"7,500","8,000","6,300","7,100","19,500","2,300","6,200","14,800","4,200","18,300","7,200","101,400"
,2006,"7,000","7,400","6,000","7,400","18,400","2,200","6,000","14,700","4,100","18,200","7,500","98,900"
,2007,"7,500","8,000","6,200","7,200","18,000","2,500","6,200","15,200","4,400","20,200","7,600","103,000"
,2008,"7,000","7,900","6,100","6,900","18,500","2,400","5,300","14,100","4,300","17,500","7,200","97,100"
,2009,"6,600","6,600","5,200","6,600","15,800","2,000","3,800","13,000","4,400","18,800","6,500","89,200"
,2010,"6,100","6,600","4,800","6,000","15,000","1,900","3,900","12,600","4,100","17,700","6,200","84,900"
,2011,"5,800","6,700","4,800","6,000","15,200","2,000","4,100","12,900","4,000","17,700","6,100","85,400"
,2012,"6,300","7,000","4,900","6,200","16,200","2,100","4,400","14,900","4,800","19,500","6,500","92,800"
,2013,"6,400","7,600","4,900","6,300","16,600","2,100","4,300","14,600","4,500","20,200","6,200","93,700"
,2014,"6,500","8,400","4,900","6,600","17,900","2,500","4,800","16,300","4,500","20,800","6,400","99,500"
,2015,"6,800","9,200","4,800","6,700","18,900","2,400","5,200","16,500","4,800","22,500","6,800","104,600"
,2016,"6,300","8,400","4,300","6,200","17,000","2,300","4,500","15,200","4,200","22,300","6,100","96,800"
,2017,"7,200","9,300","4,800","7,000","19,300","2,600","4,700","16,900","4,900","27,500","6,700","111,000"
,2018,"6,400","9,300","4,400","6,500","18,400","2,500","4,700","15,300","4,100","25,800","6,200","103,600"
,,,,,,,,,,,,,
,,DEATHS,,,,,,,,,,,
,Years,Assembly,Eating & Drinking Establishments,Educational,Institutional,Stores and Offices,Basic Industry,Manufacturing,Storage ,Detached Garages,Outside or Special Property Buildings,Other,Total Nonresidential Building*
,2003,10,5,<3,55,25,15,5,35,15,5,15,185
,2004,<3,5,<3,5,10,<3,5,10,15,10,10,70
,2005,<3,5,<3,5,5,<3,5,10,5,10,5,40
,2006,<3,<3,<3,5,15,5,5,20,10,10,5,75
,2007,5,5,<3,5,15,5,<3,15,15,10,15,90
,2008,<3,5,<3,10,35,<3,5,20,5,10,10,100
,2009,5,<3,<3,10,15,<3,10,25,10,10,15,90
,2010,<3,<3,<3,5,20,<3,5,25,<3,15,10,80
,2011,5,<3,5,<3,15,<3,10,25,5,10,5,80
,2012,<3,<3,<3,5,5,<3,5,15,10,5,10,65
,2013,<3,5,<3,<3,10,<3,5,15,5,10,15,65
,2014,<3,<3,<3,<3,15,<3,5,20,5,10,5,60
,2015,5,<3,<3,<3,10,5,5,15,10,15,5,70
,2016,50,<3,<3,15,25,5,<3,30,15,10,5,145
,2017,<3,<3,5,5,15,<3,5,30,15,20,10,95
,2018,15,<3,<3,5,10,<3,<3,10,5,20,10,85
,,,,,,,,,,,,,
,,INJURIES,,,,,,,,,,,
,Years,Assembly,Eating & Drinking Establishments,Educational,Institutional,Stores and Offices,Basic Industry,Manufacturing,Storage ,Detached Garages,Outside or Special Property Buildings,Other,Total Nonresidential Building*
,2003,50,100,125,200,300,25,225,150,150,50,50,"1,400"
,2004,75,75,50,200,225,50,200,150,100,50,50,"1,200"
,2005,50,100,75,225,250,25,275,175,100,50,75,"1,400"
,2006,50,100,75,225,275,50,200,150,100,50,50,"1,350"
,2007,50,100,50,225,250,50,175,150,75,100,50,"1,275"
,2008,50,100,125,150,300,25,150,175,75,75,50,"1,250"
,2009,50,125,100,175,350,50,175,175,125,125,75,"1,500"
,2010,75,125,50,175,350,25,150,200,100,75,50,"1,375"
,2011,50,100,100,100,250,25,150,150,75,50,50,"1,100"
,2012,75,125,50,175,300,50,175,225,125,100,100,"1,450"
,2013,75,125,75,200,350,25,175,150,100,75,25,"1,425"
,2014,25,100,50,150,300,25,150,200,100,75,25,"1,200"
,2015,50,125,50,175,250,25,125,200,125,100,75,"1,325"
,2016,75,150,50,175,325,50,225,200,150,100,75,"1,550"
,2017,75,150,50,125,275,25,150,175,75,100,50,"1,200"
,2018,50,125,50,125,250,25,100,175,50,75,25,"1,025"
,,,,,,,,,,,,,
,,DOLLAR LOSS IN 2018 DOLLARS,,,,,,,,,,,
,Years,Assembly,Eating & Drinking Establishments,Educational,Institutional,Stores and Offices,Basic Industry,Manufacturing,Storage ,Detached Garages,Outside or Special Property Buildings,Other,Total Nonresidential Building*
,2003,"289,200,000","226,700,000","80,900,000","56,300,000","948,600,000","140,600,000","500,300,000","613,600,000","103,700,000","81,800,000","64,300,000","3,106,000,000"
,2004,"218,200,000","193,900,000","99,200,000","42,700,000","837,900,000","137,700,000","527,600,000","522,000,000","78,300,000","132,700,000","45,500,000","2,835,600,000"
,2005,"235,200,000","216,500,000","118,000,000","52,200,000","891,300,000","128,000,000","397,600,000","448,200,000","85,200,000","89,900,000","85,800,000","2,747,800,000"
,2006,"175,700,000","405,200,000","146,300,000","50,200,000","1,043,600,000","129,100,000","352,600,000","388,200,000","64,200,000","51,400,000","114,000,000","2,920,500,000"
,2007,"244,300,000","224,500,000","158,500,000","51,300,000","853,700,000","322,900,000","767,200,000","480,900,000","85,300,000","56,700,000","227,700,000","3,473,000,000"
,2008,"293,700,000","340,300,000","83,100,000","108,400,000","1,146,800,000","172,300,000","755,500,000","789,300,000","90,000,000","73,500,000","173,400,000","4,026,300,000"
,2009,"227,800,000","246,200,000","140,300,000","62,000,000","855,900,000","119,700,000","742,200,000","545,800,000","95,600,000","79,400,000","115,000,000","3,229,900,000"
,2010,"222,200,000","208,300,000","84,200,000","52,700,000","884,200,000","208,300,000","385,200,000","460,200,000","87,800,000","69,600,000","101,900,000","2,764,600,000"
,2011,"166,000,000","186,100,000","43,400,000","43,300,000","737,900,000","229,400,000","625,700,000","476,100,000","76,800,000","62,600,000","71,700,000","2,719,000,000"
,2012,"140,200,000","169,200,000","120,400,000","37,300,000","687,100,000","176,000,000","584,100,000","509,700,000","86,100,000","69,100,000","123,500,000","2,702,500,000"
,2013,"211,600,000","179,500,000","84,200,000","50,000,000","665,300,000","185,100,000","378,500,000","544,400,000","84,200,000","186,400,000","83,900,000","2,653,200,000"
,2014,"170,600,000","144,800,000","56,300,000","74,000,000","873,300,000","169,500,000","459,900,000","477,100,000","96,500,000","124,300,000","86,100,000","2,732,400,000"
,2015,"218,100,000","177,400,000","66,900,000","65,700,000","647,700,000","115,700,000","803,800,000","516,300,000","84,900,000","76,200,000","78,500,000","2,851,100,000"
,2016,"197,000,000","208,600,000","48,500,000","74,700,000","725,400,000","141,100,000","483,200,000","764,100,000","98,100,000","137,900,000","101,000,000","2,979,500,000"
,2017,"117,800,000","141,100,000","41,100,000","45,900,000","1,517,700,000","73,500,000","248,900,000","356,800,000","63,800,000","129,400,000","49,800,000","2,785,800,000"
,2018,"169,900,000","166,600,000","123,200,000","31,000,000","638,100,000","258,000,000","435,800,000","536,500,000","72,400,000","150,200,000","74,700,000","2,656,600,000"
,"Note:  In 2017, a fire at the Railway Specialties Corporation in Croydon, Pennsylvania, resulted in $800 million in property loss and $300 million in contents loss that contributed to the large increase in the Stores and Offices property dollar loss estimate.",,,,,,,,,,,,
,"In 2018, a $100,500,000 transmitter building fire in Tustin, Michigan, contributed to the increase in the Basic Industry dollar loss estimate and a $70,000,000 reported fire at a Kansas State University library contributed to the increase in the Educational property dollar loss estimate.",,,,,,,,,,,,
