Residential Building Causes -  ROUNDED National Fire Injury Estimates by Cause (2003-2018),,,,,,,,,,,,,,,,,
,* Sum of causes may not equal totals due to rounding.,,,,,,,,,,,,,,,,
,Notes: ,1) Estimates of <3 indicate insufficient data available to compute estimates;,,,,,,,,,,,,,,,
,,"2) Beginning in 2012, changes in cooking, electrical malfunction, appliances, and equipment malfunction estimates may be the result of a National Fire Incident Reporting System (NFIRS) edit change (""NFIRS Version 5.0 Design Documentation,"" January 2012, Relational Edit #181, Fire Module, Equipment Involved in Ignition, Page 108, https://www.nfirs.fema.gov/documentation/design/2012/NFIRS_5.0_Design_Documentation_1-2012.pdf). Starting with the 2015 NFIRS data collection, this edit change was reverted back to the way the data were collected prior to 2012.  ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,INJURIES,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,OVERALL Residential Building Fire Injuries - Causes,,,,,,,,,,,,,,,,
,Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Residential*
,2003,875,500,"1,025",675,"3,000",900,450,"1,875","1,050",175,125,75,900,"1,550",275,"13,425"
,2004,850,500,"1,050",650,"3,225",900,500,"1,800",900,125,100,50,"1,150","1,500",325,"13,650"
,2005,925,325,"1,025",625,"3,050","1,125",500,"1,600",950,150,75,75,"1,050","1,500",400,"13,375"
,2006,750,425,"1,150",575,"2,950","1,000",475,"1,475",825,150,125,50,900,"1,350",375,"12,550"
,2007,950,400,950,700,"3,325","1,175",600,"1,475",800,200,125,75,825,"1,500",425,"13,525"
,2008,825,400,950,600,"3,475","1,075",475,"1,325",825,125,100,75,875,"1,550",375,"13,100"
,2009,775,300,900,550,"3,350","1,150",475,"1,125",725,200,100,75,900,"1,525",450,"12,600"
,2010,750,425,950,575,"3,750","1,050",425,"1,150",875,150,125,75,975,"1,525",475,"13,275"
,2011,850,350,"1,050",550,"3,675","1,200",575,"1,300",900,200,175,75,950,"1,625",425,"13,900"
,2012,775,325,800,775,"4,425",900,"1,075","1,100",775,175,150,100,125,"1,050",500,"13,050"
,2013,725,250,850,725,"4,225",875,900,"1,150",700,200,125,75,125,"1,075",450,"12,450"
,2014,625,200,775,850,"4,125",925,850,"1,050",725,175,125,50,150,"1,075",375,"12,075"
,2015,650,150,675,575,"3,775",850,725,975,725,150,100,50,250,"1,350",475,"11,475"
,2016,625,175,750,500,"3,475",800,650,925,600,175,100,75,375,"1,325",500,"11,025"
,2017,700,150,700,575,"3,300",750,600,900,625,175,75,50,475,"1,300",500,"10,825"
,2018,700,175,700,575,"3,100",825,725,975,675,325,100,100,550,"1,450",550,"11,525"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,One- and Two-Family Residential Building Fire Injuries - Causes,,,,,,,,,,,,,,,,
,Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total 1 & 2 Family*
,2003,570,405,655,515,"1,675",695,295,"1,425",735,135,105,30,585,"1,150",225,"9,200"
,2004,625,345,600,540,"1,780",735,340,"1,335",600,120,100,20,815,"1,070",240,"9,275"
,2005,615,200,505,475,"1,720",915,395,"1,115",695,140,65,60,715,"1,075",275,"8,950"
,2006,440,315,620,465,"1,635",795,360,"1,035",575,125,100,45,560,930,255,"8,225"
,2007,580,330,590,575,"1,800",905,430,"1,050",570,145,120,75,545,"1,110",290,"9,125"
,2008,505,320,580,475,"1,910",760,320,865,525,105,80,50,565,"1,040",290,"8,400"
