Residential Building Causes -  ROUNDED National Fire Estimates by Cause (2003-2018),,,,,,,,,,,,,,,,,,
,* Sum of causes may not equal totals due to rounding.,,,,,,,,,,,,,,,,,
,Notes: ,1) Estimates of <50 indicate insufficient data available to compute estimates;,,,,,,,,,,,,,,,,
,,"2) Beginning in 2012, changes in cooking, electrical malfunction, appliances, and equipment malfunction estimates may be the result of a National Fire Incident Reporting System (NFIRS) edit change (""NFIRS Version 5.0 Design Documentation,"" January 2012, Relational Edit #181, Fire Module, Equipment Involved in Ignition, Page 108, https://www.nfirs.fema.gov/documentation/design/2012/NFIRS_5.0_Design_Documentation_1-2012.pdf). Starting with the 2015 NFIRS data collection, this edit change was reverted back to the way the data were collected prior to 2012.  ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,FIRES,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,OVERALL Residential Building Fires - Causes,,,,,,,,,,,,,,,,,
,Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Residential*,
,2003,"17,400","3,500","8,900","61,100","153,000","26,400","9,200","23,700","17,900","6,000","6,700","7,000","16,100","22,000","2,200","381,200",
,2004,"17,500","3,100","9,000","60,600","162,900","27,000","8,600","23,100","17,800","5,600","6,700","7,100","16,000","22,300","2,400","389,800",
,2005,"18,000","2,900","8,700","54,200","155,500","28,500","8,500","22,900","17,600","5,000","6,700","7,500","15,100","22,500","2,900","376,500",
,2006,"18,100","3,200","9,700","53,600","168,400","30,000","9,700","22,300","16,100","5,000","7,200","7,900","14,700","23,400","3,300","392,700",
,2007,"19,000","3,100","8,900","54,400","161,700","30,600","10,200","20,900","15,400","4,600","6,900","10,300","15,200","25,400","3,800","390,300",
,2008,"18,300","2,700","8,300","53,300","162,600","29,100","9,000","19,400","13,500","4,500","6,900","8,600","13,700","24,500","3,800","378,200",
,2009,"16,200","2,100","7,000","50,200","164,900","24,700","7,700","16,200","12,300","4,000","5,400","6,700","12,300","23,100","3,400","356,200",
,2010,"16,000","2,200","7,600","46,800","166,000","26,100","8,500","16,800","13,200","3,900","6,100","7,300","13,300","24,600","3,700","362,100",
